

--------------------------------------- 2020-10-05-16-57-52-859


--------------------------------------- 2020-10-05-21-38-47-321


--------------------------------------- 2020-10-05-21-39-44-086


--------------------------------------- 2020-10-05-21-42-20-522
[notice ] 21:42:46 : Portada 2
[notice ] 21:43:18 : 
[notice ] 21:43:50 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7004.png
[notice ] 21:44:22 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7005.png
[notice ] 21:44:54 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7006.png
[notice ] 21:45:26 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7007.png
[notice ] 21:45:58 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7008.png
[notice ] 21:46:30 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7009.png
[notice ] 21:47:02 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7010.png
[notice ] 21:47:34 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7011.png
[notice ] 21:48:06 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7012.png
[notice ] 21:48:38 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7013.png
[notice ] 21:49:10 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7014.png
[notice ] 21:49:42 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7015.png
[notice ] 21:50:14 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7016.png
[notice ] 21:51:11 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7017.png
[notice ] 21:52:26 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7018.png
[notice ] 21:53:41 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7019.png
[notice ] 21:54:56 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7020.png
[notice ] 21:56:11 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7021.png
[notice ] 21:57:27 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7022.png
[notice ] 21:58:42 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7023.png
[notice ] 21:59:57 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7024.png
[notice ] 22:01:12 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7025.png
[notice ] 22:02:27 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7026.png
[notice ] 22:03:42 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7027.png
[notice ] 22:04:57 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2020/FORMS/FORMS_FITC/PNGS/7028.png
